,pc,pt,B,log pc,log pt,sqrt inv pc,sqrt inv pt,nc,nr,Br,l1,l2,ldist,fcontrac,fexpand,lsp,dmax_psD,dmax_sD,nn_dist_sD,nn_dist_nsD,nn_diff_n,nn_dist_psD,nn_dist_npsD,dpt_corr,exp_corr,or_exp_corr,trajectory type
332,0.84,0.0005952380952380953,0.0005,-0.1743533871447778,-7.426549072397305,1.0910894511799618,40.98780306383839,347,145.0864553314121,50345,0.2,0.06,1.9925712458081655,0.428828438640036,0.570921690459929,0,23.031723565400284,399.68550251881913,21.66346277286956,0.05420127234124419,0.35421691817000045,1.4199986455663258,0.06165403303552748,0.8746102187994406,0.7576259625794208,0.8500454663902864,hayashi
333,0.03,0.016666666666666666,0.0005,-3.506557897319982,-4.0943445622221,5.773502691896258,7.745966692414834,12,4188.166666666667,50258,0.342,0.163,2.298805716623447,0.15151515151515152,0.8484848484848485,0,77.87107202876719,365.3199032777586,60.64191923503603,0.16599675706398348,0.5033808499709717,32.42884127387093,0.4164427229394125,0.9180415331789418,0.7285620829580023,0.7137360504798133,hayashi
334,0.05,0.01,0.0005,-2.995732273553991,-4.605170185988091,4.47213595499958,10.0,20,2409.9,48198,0.134,0.028,1.523633423889532,0.4631578947368421,0.5368421052631579,0,96.47017163395101,327.13643208156714,37.29139927063948,0.1139934156319874,0.15336349773817096,16.110489442814277,0.16699969710787232,0.9122731965119767,0.6861403473086158,0.6898183134865594,hayashi
335,0.07,0.007142857142857143,0.0005,-2.659260036932778,-4.941642422609305,3.779644730092272,11.832159566199232,28,1750.9642857142858,49027,0.136,0.031,1.5625492293791374,0.6058201058201058,0.3941798941798942,0,106.22267223008316,354.1021323884896,36.26745537498741,0.10242088950539828,0.10613488039689878,10.84768387620717,0.10212211431388762,0.9702085325941734,0.8430816623230435,0.8438792411716947,hayashi
336,0.1,0.005,0.0005,-2.3025850929940455,-5.298317366548036,3.1622776601683795,14.142135623730951,41,1224.5853658536585,50208,0.178,0.052,1.7328905722492185,0.4524390243902439,0.5475609756097561,0,63.81291127753662,397.49678804454237,35.33002756016575,0.08888129067399347,0.1449799031502652,7.823684568319293,0.12260347336751866,0.9597306358911171,0.751260971658881,0.7063004381492333,hayashi
337,0.16,0.003125,0.0005,-1.8325814637483102,-5.768320995793772,2.5,17.88854381999832,66,756.5454545454545,49932,0.169,0.045,1.7346426484209099,0.40606060606060607,0.5934731934731935,0,45.526720882674724,381.8689363175003,29.114328704729868,0.07624167858608724,0.21609534635308353,5.010449186690477,0.11005513003237646,0.9510566741259865,0.8475826623254532,0.811546755355294,hayashi
338,0.24,0.0020833333333333333,0.0005,-1.4271163556401458,-6.173786103901937,2.041241452319315,21.908902300206645,99,517.959595959596,51278,0.16,0.04,1.7216134325320187,0.5168006596578025,0.48237476808905383,0,54.096020598535574,381.69224560222295,25.421156222937153,0.06660118594452552,0.17549651269064653,3.4230079628059227,0.06327652061894154,0.9382251751080692,0.8185006226831746,0.8099138889083864,hayashi
339,0.36,0.001388888888888889,0.0005,-1.0216512475319814,-6.579251212010101,1.6666666666666667,26.832815729997478,149,344.3758389261745,51312,0.164,0.045,1.7379402176404233,0.5745510611282424,0.4249954652639216,0,41.18546396809962,376.8079883714198,25.157590486983903,0.06676501364983285,0.19675831133770968,2.501138452768199,0.060728670064405896,0.931305454241853,0.8329411220215718,0.8271965129008751,hayashi
340,0.55,0.0009090909090909091,0.0005,-0.5978370007556204,-7.003065458786462,1.348399724926484,33.166247903554,227,220.86784140969164,50137,0.174,0.047,1.8472073797195658,0.38279209387548246,0.6168570426104245,0,24.694200275501665,399.68550251881913,22.734176890789897,0.056880163897662164,0.2970397481270832,1.8566786647295817,0.07518683107836999,0.9218568736154866,0.7657497933202203,0.7843283139394118,hayashi
341,0.84,0.0005952380952380953,0.0005,-0.1743533871447778,-7.426549072397305,1.0910894511799618,40.98780306383839,347,145.80403458213257,50594,0.197,0.058,1.989978035226088,0.38540087621395613,0.6143159367660043,0,21.13404686618759,413.14563246397654,22.051167224175423,0.0533738359828798,0.3327506789637706,1.4073468517344252,0.06659145125612656,0.8765548914413495,0.7397460714948128,0.8151556620637184,hayashi
342,0.03,0.016666666666666666,0.0005,-3.506557897319982,-4.0943445622221,5.773502691896258,7.745966692414834,12,4204.083333333333,50449,0.189,0.063,1.7763173612063177,0.3787878787878788,0.6212121212121212,0,120.69685530034043,362.5223757309734,52.56694228412194,0.14500330408055057,0.3167857867467319,35.888689402202694,0.297345687366069,0.962435977905513,0.8254278411914587,0.847338823414719,hayashi
